Status,Dossier_ID,DocumentID,DocType,DocCategory,LimitationType,Issue,rdafType,startDate,UniversalKey,LimitationLife
CLSD,81746331,81746331/040,TD,,,,,2026-04-01,81746331,
CLSD,81730252,81730252/041,TD,,,,,2026-05-05,81730252,
CLSD,81720038,81720038/010,TD,,,,,2026-01-16,81720038,
CLSD,81717778,81717778/007,RD,,,,,2026-01-06,81717778,
CLSD,81541363,81541363/012,TD,,,,,2025-02-19,81541363,
CLSD,81386134,81386134/029,RD-TD,,,,,2024-04-29,81386134,
CLSD,81693680,81693680/015,TD,,,,,2025-11-21,81693680,
CLSD,81416546,81416546/031,TD,,,,,2024-07-11,81416546,
CLSD,81785268,81785268/004,RD,,,,,2026-04-23,81785268,
CLSD,81248441,81248441/109,TD,,,,,2023-09-19,81248441,
CLSD,81735574,81735574/033,TD,,,,,2026-03-23,81735574,
CLSD,80906989,80906989/050,TD,,,,,2026-05-01,80906989,
CLSD,81773181,81773181/032,RD-TD,,,,,2026-05-03,81773181,
CLSD,80320020,80320020/008,TD,,,,,2017-06-15,80320020,
CLSD,81760800,81760800/013,TD,,,,,2026-03-18,81760800,
CLSD,81768128,81768128/020,TD,,,,,2026-05-06,81768128,
CLSD,81566847,81566847/136,TD,,,,,2025-11-26,81566847,
CLSD,81785947,81785947/015,TD,,,,,2026-05-04,81785947,
CLSD,80511706,80511706/028,RD,,,,,2018-10-10,80511706,
CLSD,81685279,81685279/113,TD,,,,,2026-02-11,81685279,
CLSD,81720750,81720750/015,RD,,,,,2026-01-12,81720750,
CLSD,81735574,81735574/045,TD,,,,,2026-04-07,81735574,
CLSD,81731177,81731177/130,TD,,,,,2026-04-17,81731177,
CLSD,80382945,80382945/042,TD,,,,,2018-11-29,80382945,
CLSD,81783707,81783707/018,RD-TD,,,,,2026-04-23,81783707,
CLSD,81399662,81399662/064,RD,,,,,2026-04-26,81399662,
CLSD,81451728,81451728/014,RD,,,,,2024-08-19,81451728,
CLSD,81666125,81666125/029,RD,,,,,2026-04-07,81666125,
CLSD,81350450,81350450/024,RD,,,,,2024-03-22,81350450,
CLSD,80848728,80848728/087,TD,,,,,2025-11-21,80848728,
CLSD,81474914,81474914/002,RD,,,,,2024-10-02,81474914,
CLSD,81782715,81782715/009,RD,,,,,2026-04-22,81782715,
CLSD,80533882,80533882/148,RD,,,,,2025-10-09,80533882,
CLSD,81750922,81750922/036,RD,,,,,2026-03-18,81750922,
CLSD,80172068,80172068/057,TD,,,,,2017-01-18,80172068,
CLSD,81763842,81763842/024,TD,,,,,2026-03-27,81763842,
CLSD,81236901,81236901/064,RD,,,,,2026-03-18,81236901,
CLSD,81114114,81114114/022,RD,,,,,2022-10-05,81114114,
CLSD,81656565,81656565/023,RD,,,,,2025-09-16,81656565,
CLSD,81785102,81785102/012,TD,,,,,2026-05-05,81785102,
CLSD,80885738,80885738/013,TD,,,,,2021-02-25,80885738,
CLSD,80479207,80479207/173,TD,,,,,2022-07-05,80479207,
CLSD,80483052,80483052/147,RD,,,,,2024-05-14,80483052,
CLSD,80307410,80307410/025,TD,,,,,2017-05-15,80307410,
CLSD,70586873,70586873/038,RD,,,,,2019-08-05,70586873,
CLSD,80953361,80953361/058,TD,,,,,2023-04-05,80953361,
CLSD,81364686,81364686/215,TD,,,,,2026-03-26,81364686,
CLSD,80947987,80947987/025,RD,,,,,2021-08-12,80947987,
CLSD,81786592,81786592/008,TD,,,,,2026-04-30,81786592,
CLSD,80157155,80157155/047,TD,,,,,2026-03-06,80157155,
CLSD,81340102,81340102/177,TD,,,,,2024-05-02,81340102,
CLSD,81416555,81416555/067,TD,,,,,2024-07-30,81416555,
CLSD,81586643,81586643/011,RD,,,,,2025-05-16,81586643,
CLSD,81756255,81756255/219,TD,,,,,2026-04-30,81756255,
CLSD,80161650,80161650/093,TD,,,,,2023-11-13,80161650,
CLSD,81255578,81255578/014,RD-TD,,,,,2023-07-21,81255578,
CLSD,81773472,81773472/018,RD,,,,,2026-04-03,81773472,
CLSD,81430030,81430030/023,RD,,,,,2025-12-09,81430030,
CLSD,81715043,81715043/029,RD-TD,,,,,2026-01-27,81715043,
CLSD,81601005,81601005/017,TD,,,,,2025-06-06,81601005,
CLSD,80214533,80214533/043,TD,,,,,2019-05-02,80214533,
CLSD,81077573,81077573/045,RD-TD,,,,,2026-05-06,81077573,
CLSD,81601005,81601005/084,TD,,,,,2026-04-24,81601005,
CLSD,80952336,80952336/057,TD,,,,,2021-10-07,80952336,
CLSD,81604099,81604099/088,TD,,,,,2025-07-15,81604099,
CLSD,70531160,70531160/458,TD,,,,,2022-03-29,70531160,
CLSD,81069618,81069618/027,RD,,,,,2022-06-08,81069618,
CLSD,81261483,81261483/045,TD,,,,,2023-09-19,81261483,
CLSD,81785835,81785835/007,RD,,,,,2026-04-28,81785835,
CLSD,80043546,80043546/006,RD,,,,,2015-05-14,80043546,
CLSD,81115466,81115466/089,TD,,,,,2022-11-09,81115466,
CLSD,81601005,81601005/066,RD-TD,,,,,2026-04-14,81601005,
CLSD,81743106,81743106/032,TD,,,,,2026-03-05,81743106,
CLSD,81687985,81687985/014,RD,,,,,2025-11-25,81687985,
CLSD,70575009,70575009/098,TD,,,,,2021-01-06,70575009,
CLSD,70532217,70532217/111,RD,,,,,2020-03-17,70532217,
CLSD,81635377,81635377/047,TD,,,,,2025-09-04,81635377,
CLSD,80703413,80703413/034,TD,,,,,2025-10-16,80703413,
CLSD,81789445,81789445/013,RD,,,,,2026-05-06,81789445,
CLSD,81689997,81689997/017,TD,,,,,2025-11-17,81689997,
CLSD,81779331,81779331/007,RD,,,,,2026-04-17,81779331,
CLSD,81695728,81695728/061,TD,,,,,2025-11-23,81695728,
CLSD,81118013,81118013/109,TD,,,,,2025-10-20,81118013,
CLSD,81760000,81760000/007,RD,,,,,2026-03-16,81760000,
CLSD,81692969,81692969/049,RD-TD,,,,,2026-04-24,81692969,
CLSD,81718908,81718908/014,RD,,,,,2026-01-07,81718908,
CLSD,80612960,80612960/068,RD,,,,,2019-04-25,80612960,
CLSD,81701651,81701651/038,TD,,,,,2025-12-25,81701651,
CLSD,81404728,81404728/014,TD,,,,,2024-05-27,81404728,
CLSD,81678957,81678957/026,TD,,,,,2025-11-04,81678957,
CLSD,81601005,81601005/031,TD,,,,,2025-06-27,81601005,
CLSD,81757301,81757301/017,RD,,,,,2026-03-18,81757301,
CLSD,81708559,81708559/019,RD,,,,,2025-12-17,81708559,
CLSD,80719820,80719820/066,TD,,,,,2023-12-18,80719820,
CLSD,81779890,81779890/008,RD,,,,,2026-04-22,81779890,
CLSD,81747222,81747222/018,RD,,,,,2026-03-12,81747222,
CLSD,81715007,81715007/019,RD,,,,,2025-12-31,81715007,
CLSD,81780822,81780822/004,TD,,,,,2026-04-17,81780822,
CLSD,81749429,81749429/009,TD,,,,,2026-02-25,81749429,
CLSD,81390366,81390366/053,TD,,,,,2024-06-06,81390366,
CLSD,81734102,81734102/008,RD,,,,,2026-01-29,81734102,
CLSD,81652628,81652628/043,RD,,,,,2025-09-09,81652628,
CLSD,81716957,81716957/069,TD,,,,,2026-02-10,81716957,
CLSD,81749125,81749125/009,RD,,,,,2026-02-25,81749125,
CLSD,81685225,81685225/014,RD,,,,,2025-11-07,81685225,
CLSD,81386134,81386134/174,TD,,,,,2025-07-14,81386134,
CLSD,81115348,81115348/052,TD,,,,,2026-04-20,81115348,
CLSD,80382945,80382945/182,RD,,,,,2025-12-10,80382945,
CLSD,81292664,81292664/006,RD,,,,,2023-10-11,81292664,
CLSD,81751277,81751277/011,TD,,,,,2026-02-27,81751277,
CLSD,80479155,80479155/138,RD,,,,,2024-05-13,80479155,
CLSD,81697638,81697638/035,TD,,,,,2025-11-27,81697638,
CLSD,81692239,81692239/007,RD,,,,,2025-11-20,81692239,
CLSD,81741568,81741568/006,TD,,,,,2026-02-17,81741568,
CLSD,81777360,81777360/022,RD,,,,,2026-04-24,81777360,
CLSD,81354525,81354525/098,TD,,,,,2025-01-13,81354525,
CLSD,81752580,81752580/043,RD,,,,,2026-03-08,81752580,
CLSD,81716857,81716857/004,RD,,,,,2025-12-30,81716857,
CLSD,81336629,81336629/052,TD,,,,,2025-11-28,81336629,
CLSD,81358070,81358070/038,TD,,,,,2024-04-22,81358070,
CLSD,81710629,81710629/012,TD,,,,,2026-01-07,81710629,
CLSD,81211022,81211022/155,TD,,,,,2026-05-05,81211022,
CLSD,81358070,81358070/069,TD,,,,,2024-05-10,81358070,
CLSD,81786261,81786261/036,RD,,,,,2026-04-30,81786261,
CLSD,81726281,81726281/018,RD,,,,,2026-01-21,81726281,
CLSD,81659971,81659971/026,RD,,,,,2026-04-10,81659971,
CLSD,81768697,81768697/018,TD,,,,,2026-04-07,81768697,
CLSD,81755237,81755237/008,TD,,,,,2026-03-05,81755237,
CLSD,81248438,81248438/031,TD,,,,,2023-08-01,81248438,
CLSD,80553603,80553603/028,TD,,,,,2026-03-09,80553603,
CLSD,81442435,81442435/224,TD,,,,,2025-02-03,81442435,
CLSD,81786293,81786293/007,RD,,,,,2026-04-28,81786293,
CLSD,81358070,81358070/063,TD,,,,,2024-05-08,81358070,
CLSD,81710128,81710128/078,TD,,,,,2026-02-10,81710128,
CLSD,80977111,80977111/040,TD,,,,,2025-11-26,80977111,
CLSD,80533279,80533279/032,RD,,,,,2025-10-17,80533279,
CLSD,81211043,81211043/049,RD,,,,,2026-02-25,81211043,
CLSD,81399697,81399697/018,TD,,,,,2026-04-01,81399697,
CLSD,81746693,81746693/005,RD,,,,,2026-02-19,81746693,
CLSD,81786808,81786808/008,RD,,,,,2026-04-29,81786808,
CLSD,80962475,80962475/003,RD,,,,,2021-09-07,80962475,
CLSD,81673957,81673957/019,TD,,,,,2025-10-23,81673957,
CLSD,81253636,81253636/029,RD-TD,,,,,2023-07-31,81253636,
CLSD,81699180,81699180/029,TD,,,,,2025-12-23,81699180,
CLSD,81707893,81707893/009,RD,,,,,2025-12-12,81707893,
CLSD,80766818,80766818/015,TD,,,,,2020-03-17,80766818,
CLSD,81023201,81023201/004,RD,,,,,2022-02-07,81023201,
CLSD,81340102,81340102/224,RD,,,,,2026-01-06,81340102,
CLSD,81784099,81784099/004,RD,,,,,2026-04-22,81784099,
CLSD,81118013,81118013/085,TD,,,,,2025-10-08,81118013,
CLSD,80379392,80379392/032,RD,,,,,2023-02-27,80379392,
CLSD,80630659,80630659/008,RD,,,,,2019-05-31,80630659,
CLSD,80140968,80140968/011,RD,,,,,2016-04-01,80140968,
CLSD,81205511,81205511/021,RD,,,,,2023-04-21,81205511,
CLSD,81683811,81683811/082,TD,,,,,2026-03-03,81683811,
CLSD,81191911,81191911/043,RD,,,,,2025-03-16,81191911,
CLSD,81784470,81784470/010,RD,,,,,2026-04-24,81784470,
CLSD,80325680,80325680/056,RD,,,,,2026-05-06,80325680,
CLSD,81789828,81789828/011,RD,,,,,2026-05-06,81789828,
CLSD,81566847,81566847/142,TD,,,,,2025-11-26,81566847,
CLSD,70504830,70504830/022,TD,,,,,2020-02-27,70504830,
CLSD,81323948,81323948/040,TD,,,,,2025-11-26,81323948,
CLSD,81726528,81726528/110,TD,,,,,2026-01-29,81726528,
CLSD,80714285,80714285/033,TD,,,,,2019-12-01,80714285,
CLSD,81498650,81498650/033,TD,,,,,2024-12-04,81498650,
CLSD,81782270,81782270/010,RD,,,,,2026-04-21,81782270,
CLSD,80533888,80533888/113,TD,,,,,2026-01-19,80533888,
CLSD,70552906,70552906/130,RD,,,,,2026-03-20,70552906,
CLSD,81764467,81764467/053,RD-TD,,,,,2026-05-04,81764467,
CLSD,81212034,81212034/031,RD,,,,,2026-02-24,81212034,
CLSD,81554833,81554833/099,RD-TD,,,,,2025-10-17,81554833,
CLSD,81717431,81717431/071,TD,,,,,2026-01-27,81717431,
CLSD,81416545,81416545/031,TD,,,,,2024-06-28,81416545,
CLSD,81052487,81052487/041,TD,,,,,2022-05-02,81052487,
CLSD,81354525,81354525/136,TD,,,,,2025-03-04,81354525,
CLSD,81782481,81782481/007,RD,,,,,2026-04-23,81782481,
CLSD,81613709,81613709/011,TD,,,,,2025-06-27,81613709,
CLSD,80144755,80144755/011,RD,,,,,2016-04-11,80144755,
CLSD,81787904,81787904/003,RD,,,,,2026-04-29,81787904,
CLSD,81789981,81789981/015,RD,,,,,2026-05-06,81789981,
CLSD,80383158,80383158/055,TD,,,,,2020-08-05,80383158,
CLSD,81217757,81217757/086,TD,,,,,2023-07-14,81217757,
CLSD,81740235,81740235/040,TD,,,,,2026-02-11,81740235,
CLSD,81553481,81553481/013,TD,,,,,2025-03-26,81553481,
