DossierID,RDAF,Instructions
81415005,RDAF Delivered,Instruction Not Delivered
81381178,RDAF Delivered,Instruction Not Delivered
81406799,RDAF Delivered,Instruction Not Delivered
70350037,RDAF Not Delivered,Instruction Not Delivered
81395498,RDAF Delivered,Instruction Not Delivered
81376737,RDAF Delivered,Instruction Delivered
80757476,RDAF Not Delivered,Instruction Not Delivered
81335377,RDAF Delivered,Instruction Delivered
80462740,RDAF Not Delivered,Instruction Not Delivered
80438420,RDAF Delivered,Instruction Delivered
81308042,RDAF Delivered,Instruction Delivered
81409480,RDAF Delivered,Instruction Not Delivered
81346815,RDAF Delivered,Instruction Delivered
81366436,RDAF Delivered,Instruction Not Delivered
81358294,RDAF Not Delivered,Instruction Not Delivered
81373172,RDAF Delivered,Instruction Delivered
81410323,RDAF Delivered,Instruction Not Delivered
81075440,RDAF Delivered,Instruction Delivered
81229285,RDAF Delivered,Instruction Not Delivered
81354679,RDAF Delivered,Instruction Delivered
81412544,RDAF Delivered,Instruction Delivered
81335848,RDAF Delivered,Instruction Not Delivered
81277699,RDAF Delivered,Instruction Delivered
81263638,RDAF Delivered,Instruction Delivered
81158537,RDAF Delivered,Instruction Delivered
81237560,RDAF Delivered,Instruction Delivered
81376738,RDAF Delivered,Instruction Delivered
81399744,RDAF Delivered,Instruction Not Delivered
81414777,RDAF Delivered,Instruction Not Delivered
81307923,RDAF Delivered,Instruction Not Delivered
80846054,RDAF Delivered,Instruction Delivered
81276986,RDAF Delivered,Instruction Not Delivered
81314196,RDAF Delivered,Instruction Delivered
81391707,RDAF Delivered,Instruction Not Delivered
81408097,RDAF Delivered,Instruction Delivered
81343564,RDAF Delivered,Instruction Not Delivered
81398120,RDAF Not Delivered,Instruction Delivered
81363793,RDAF Delivered,Instruction Delivered
81295788,RDAF Delivered,Instruction Delivered
81404608,RDAF Delivered,Instruction Not Delivered
81387458,RDAF Delivered,Instruction Not Delivered
81407325,RDAF Delivered,Instruction Not Delivered
81330877,RDAF Delivered,Instruction Delivered
81391979,RDAF Delivered,Instruction Delivered
81015641,RDAF Delivered,Instruction Delivered
81391460,RDAF Delivered,Instruction Delivered
81411219,RDAF Delivered,Instruction Not Delivered
81368011,RDAF Delivered,Instruction Not Delivered
81373250,RDAF Delivered,Instruction Not Delivered
80375313,RDAF Delivered,Instruction Delivered
81270906,RDAF Delivered,Instruction Delivered
81316533,RDAF Delivered,Instruction Delivered
81323852,RDAF Delivered,Instruction Not Delivered
81150647,RDAF Delivered,Instruction Delivered
80965738,RDAF Delivered,Instruction Delivered
81334902,RDAF Delivered,Instruction Delivered
81413506,RDAF Delivered,Instruction Not Delivered
80995286,RDAF Delivered,Instruction Delivered
81356554,RDAF Delivered,Instruction Delivered
80000770,RDAF Delivered,Instruction Not Delivered
81412196,RDAF Delivered,Instruction Not Delivered
81402060,RDAF Delivered,Instruction Not Delivered
81382559,RDAF Delivered,Instruction Not Delivered
81387487,RDAF Delivered,Instruction Not Delivered
81375558,RDAF Delivered,Instruction Not Delivered
81401427,RDAF Delivered,Instruction Not Delivered
81414090,RDAF Delivered,Instruction Not Delivered
81359206,RDAF Delivered,Instruction Not Delivered
81414479,RDAF Delivered,Instruction Not Delivered
81309013,RDAF Delivered,Instruction Delivered
81398473,RDAF Delivered,Instruction Not Delivered
81263047,RDAF Delivered,Instruction Not Delivered
81170428,RDAF Delivered,Instruction Delivered
80377107,RDAF Delivered,Instruction Delivered
80021740,RDAF Delivered,Instruction Not Delivered
81316633,RDAF Delivered,Instruction Delivered
81133969,RDAF Delivered,Instruction Not Delivered
81414095,RDAF Delivered,Instruction Not Delivered
81390074,RDAF Delivered,Instruction Delivered
81398585,RDAF Delivered,Instruction Not Delivered
81321969,RDAF Delivered,Instruction Not Delivered
81309699,RDAF Delivered,Instruction Not Delivered
81300807,RDAF Delivered,Instruction Delivered
81415063,RDAF Delivered,Instruction Not Delivered
81207751,RDAF Delivered,Instruction Not Delivered
81394077,RDAF Delivered,Instruction Delivered
80139398,RDAF Not Delivered,Instruction Not Delivered
81401919,RDAF Delivered,Instruction Not Delivered
81407665,RDAF Delivered,Instruction Not Delivered
81289647,RDAF Delivered,Instruction Delivered
81375378,RDAF Delivered,Instruction Delivered
81344552,RDAF Delivered,Instruction Delivered
81327987,RDAF Delivered,Instruction Not Delivered
81396187,RDAF Delivered,Instruction Delivered
70451878,RDAF Delivered,Instruction Delivered
81034283,RDAF Delivered,Instruction Not Delivered
81176231,RDAF Delivered,Instruction Delivered
81352195,RDAF Delivered,Instruction Not Delivered
81398590,RDAF Delivered,Instruction Not Delivered
81404959,RDAF Not Delivered,Instruction Not Delivered
81316970,RDAF Delivered,Instruction Not Delivered
81396949,RDAF Delivered,Instruction Not Delivered
70548927,RDAF Delivered,Instruction Delivered
81150656,RDAF Delivered,Instruction Delivered
81410606,RDAF Delivered,Instruction Not Delivered
81326349,RDAF Not Delivered,Instruction Not Delivered
70587509,RDAF Delivered,Instruction Not Delivered
81346313,RDAF Delivered,Instruction Not Delivered
81094635,RDAF Delivered,Instruction Not Delivered
81159642,RDAF Delivered,Instruction Not Delivered
81368834,RDAF Delivered,Instruction Not Delivered
81412394,RDAF Delivered,Instruction Not Delivered
81327124,RDAF Delivered,Instruction Delivered
81353162,RDAF Delivered,Instruction Delivered
81408170,RDAF Delivered,Instruction Not Delivered
81357661,RDAF Delivered,Instruction Not Delivered
81386373,RDAF Delivered,Instruction Delivered
81102781,RDAF Delivered,Instruction Not Delivered
81402390,RDAF Delivered,Instruction Not Delivered
80568995,RDAF Delivered,Instruction Delivered
81390513,RDAF Delivered,Instruction Not Delivered
81408256,RDAF Delivered,Instruction Delivered
81413283,RDAF Not Delivered,Instruction Not Delivered
81380402,RDAF Delivered,Instruction Not Delivered
81169919,RDAF Delivered,Instruction Delivered
81402904,RDAF Delivered,Instruction Not Delivered
81373786,RDAF Delivered,Instruction Not Delivered
80739259,RDAF Delivered,Instruction Not Delivered
81140070,RDAF Delivered,Instruction Not Delivered
81244876,RDAF Delivered,Instruction Delivered
81221851,RDAF Delivered,Instruction Delivered
81415864,RDAF Delivered,Instruction Not Delivered
81404439,RDAF Delivered,Instruction Not Delivered
81411142,RDAF Delivered,Instruction Not Delivered
81399549,RDAF Not Delivered,Instruction Not Delivered
81384509,RDAF Delivered,Instruction Not Delivered
81401028,RDAF Not Delivered,Instruction Not Delivered
80266296,RDAF Delivered,Instruction Delivered
81400595,RDAF Delivered,Instruction Not Delivered
81098615,RDAF Delivered,Instruction Delivered
81336269,RDAF Delivered,Instruction Not Delivered
81305687,RDAF Delivered,Instruction Not Delivered
81170555,RDAF Delivered,Instruction Not Delivered
81300923,RDAF Delivered,Instruction Delivered
81188625,RDAF Delivered,Instruction Delivered
81410890,RDAF Delivered,Instruction Not Delivered
81404691,RDAF Delivered,Instruction Not Delivered
81374930,RDAF Delivered,Instruction Not Delivered
81363388,RDAF Delivered,Instruction Not Delivered
81409063,RDAF Delivered,Instruction Not Delivered
81373011,RDAF Delivered,Instruction Not Delivered
81382255,RDAF Delivered,Instruction Not Delivered
81311471,RDAF Delivered,Instruction Not Delivered
81403394,RDAF Delivered,Instruction Delivered
81412408,RDAF Delivered,Instruction Delivered
81395237,RDAF Delivered,Instruction Delivered
81405207,RDAF Not Delivered,Instruction Not Delivered
81367086,RDAF Delivered,Instruction Not Delivered
81356253,RDAF Delivered,Instruction Not Delivered
81375932,RDAF Delivered,Instruction Delivered
81322309,RDAF Delivered,Instruction Not Delivered
81379524,RDAF Delivered,Instruction Not Delivered
81396282,RDAF Delivered,Instruction Delivered
81298172,RDAF Delivered,Instruction Delivered
81412434,RDAF Delivered,Instruction Delivered
81326852,RDAF Delivered,Instruction Delivered
81349541,RDAF Delivered,Instruction Delivered
81324780,RDAF Delivered,Instruction Delivered
81326214,RDAF Delivered,Instruction Delivered
81405710,RDAF Delivered,Instruction Not Delivered
81378272,RDAF Delivered,Instruction Not Delivered
81238918,RDAF Delivered,Instruction Delivered
81286104,RDAF Delivered,Instruction Not Delivered
81307608,RDAF Delivered,Instruction Not Delivered
81390682,RDAF Delivered,Instruction Delivered
81393683,RDAF Delivered,Instruction Not Delivered
81283712,RDAF Delivered,Instruction Delivered
81359796,RDAF Delivered,Instruction Delivered
81215290,RDAF Delivered,Instruction Not Delivered
81354552,RDAF Delivered,Instruction Delivered
81343117,RDAF Delivered,Instruction Delivered
81226396,RDAF Delivered,Instruction Delivered
81356434,RDAF Delivered,Instruction Delivered
81386771,RDAF Delivered,Instruction Delivered
81271684,RDAF Delivered,Instruction Not Delivered
81332569,RDAF Delivered,Instruction Delivered
81389883,RDAF Delivered,Instruction Not Delivered
81416601,RDAF Delivered,Instruction Not Delivered
80047666,RDAF Delivered,Instruction Not Delivered
81295430,RDAF Delivered,Instruction Delivered
81325859,RDAF Delivered,Instruction Not Delivered
81205007,RDAF Delivered,Instruction Not Delivered
81409284,RDAF Not Delivered,Instruction Not Delivered
81308768,RDAF Delivered,Instruction Delivered
81369618,RDAF Delivered,Instruction Delivered
70331710,RDAF Delivered,Instruction Not Delivered
81129242,RDAF Delivered,Instruction Not Delivered
81409989,RDAF Delivered,Instruction Delivered
81259498,RDAF Delivered,Instruction Not Delivered
81331080,RDAF Delivered,Instruction Delivered
81374168,RDAF Delivered,Instruction Not Delivered
81388914,RDAF Delivered,Instruction Delivered
80230986,RDAF Delivered,Instruction Delivered
70567594,RDAF Delivered,Instruction Not Delivered
81334995,RDAF Delivered,Instruction Not Delivered
81364995,RDAF Delivered,Instruction Not Delivered
81399765,RDAF Delivered,Instruction Not Delivered
81396364,RDAF Delivered,Instruction Not Delivered
81284533,RDAF Not Delivered,Instruction Not Delivered
81349745,RDAF Delivered,Instruction Delivered
81359199,RDAF Delivered,Instruction Delivered
81101415,RDAF Delivered,Instruction Delivered
80798275,RDAF Not Delivered,Instruction Not Delivered
81390773,RDAF Delivered,Instruction Not Delivered
81415402,RDAF Delivered,Instruction Not Delivered
81398583,RDAF Delivered,Instruction Not Delivered
81391592,RDAF Delivered,Instruction Not Delivered
70583216,RDAF Delivered,Instruction Not Delivered
81385989,RDAF Delivered,Instruction Not Delivered
81386548,RDAF Delivered,Instruction Not Delivered
81207699,RDAF Delivered,Instruction Not Delivered
81218885,RDAF Delivered,Instruction Delivered
81169873,RDAF Delivered,Instruction Not Delivered
70516342,RDAF Delivered,Instruction Not Delivered
81159089,RDAF Delivered,Instruction Not Delivered
81416329,RDAF Delivered,Instruction Not Delivered
81370322,RDAF Delivered,Instruction Not Delivered
81135079,RDAF Delivered,Instruction Not Delivered
81348909,RDAF Delivered,Instruction Delivered
81229913,RDAF Delivered,Instruction Not Delivered
81396375,RDAF Delivered,Instruction Not Delivered
81343313,RDAF Delivered,Instruction Delivered
