ICAO,OPENCount,ClosedCount,AmbersAlloted,AmberCount,RedCount,RedCapMet,AmberCapMet
AWC,0,0,0,0,0,false,false
MYX,0,0,0,0,0,false,false
LWA,0,0,0,0,0,false,false
GJW,0,0,0,0,0,false,false
VKG,0,0,0,0,0,false,false
GIA,0,0,0,0,0,false,false
PIC,0,0,0,0,0,false,false
LATAM,0,0,0,0,0,false,false
CFG,0,0,0,0,0,false,false
IAW,0,0,0,0,0,false,false
32P,0,0,0,0,0,false,false
33T,0,0,0,0,0,false,false
UGD,0,0,0,0,0,false,false
0,0,0,0,0,0,false,false
WFL,0,0,0,0,0,false,false
26S,0,0,0,0,0,false,false
IRM,0,0,0,0,0,false,false
S9X,0,0,0,0,0,false,false
SDR,0,0,0,0,0,false,false
GSH,0,0,0,0,0,false,false
ROI,0,0,0,0,0,false,false
RSY,0,0,0,0,0,false,false
ANY,0,0,0,0,0,false,false
AZA,0,0,0,0,0,false,false
WUK,0,0,0,0,0,false,false
82U,0,0,0,0,0,false,false
56O,0,0,0,0,0,false,false
S7B,0,0,0,0,0,false,false
T3P,0,0,0,0,0,false,false
NIA,0,0,0,0,0,false,false
LTP,0,0,0,0,0,false,false
LEASE,0,0,0,0,0,false,false
BDJ,0,0,0,0,0,false,false
BNL,0,0,0,0,0,false,false
CTN,0,0,0,0,0,false,false
XXXX,0,0,0,0,0,false,false
TDR,0,0,0,0,0,false,false
LBT,0,0,0,0,0,false,false
89Q,0,0,0,0,0,false,false
00000,0,0,0,0,0,false,false
59Z,0,0,0,0,0,false,false
SOL,0,0,0,0,0,false,false
67Z,0,0,0,0,0,false,false
FWI/FBU,0,0,0,0,0,false,false
TPA,0,0,0,0,0,false,false
WAC,0,0,0,0,0,false,false
GSW,0,0,0,0,0,false,false
NUM,0,0,0,0,0,false,false
51L,0,0,0,0,0,false,false
BPA,0,0,0,0,0,false,false
ARU,0,0,0,0,0,false,false
FJI,0,0,0,0,0,false,false
S2A,0,0,0,0,0,false,false
ASY,0,0,0,0,0,false,false
OMS,0,0,0,0,0,false,false
14S,0,0,0,0,0,false,false
83Q,0,0,0,0,0,false,false
VNL,0,0,0,0,0,false,false
49N,0,0,0,0,0,false,false
---,0,0,0,0,0,false,false
E2E,0,0,0,0,0,false,false
RNA,0,0,0,0,0,false,false
34L,0,0,0,0,0,false,false
